idFunc,Nome_func,Sobrenome,Idade,idVenda,Nome_vendas,Quantidade
0,Maria Eduarda,Gomes,49,10550,Bombom,12
0,Maria Eduarda,Gomes,49,31136,Vassoura,16
1,Tomás,Ramires,54,4045,Purificador de ambientes,16
1,Tomás,Ramires,54,27363,Limpa-vidro,1
2,Luiz Otávio,Resende,20,10086,Peixe,13
2,Luiz Otávio,Resende,20,26819,Ovos,18
2,Luiz Otávio,Resende,20,27560,Água sanitária,5
3,Erick,Figueiroa,49,9897,Limpa-vidro,13
3,Erick,Figueiroa,49,15388,Esmalte,17
3,Erick,Figueiroa,49,23259,Fixador,18
3,Erick,Figueiroa,49,33598,Gel,8
3,Erick,Figueiroa,49,38382,Cortador de unhas,4
4,Pedro Miguel,Maciel,31,1798,Requeijão,16
4,Pedro Miguel,Maciel,31,22055,Tortas,10
4,Pedro Miguel,Maciel,31,24625,Bacon,5
4,Pedro Miguel,Maciel,31,30276,Melancia,10
4,Pedro Miguel,Maciel,31,39600,Bombom,12
5,Raul,Magalhães,38,2146,Fio-dental,16
5,Raul,Magalhães,38,36621,Laranja,5
5,Raul,Magalhães,38,37611,Salgados,12
6,Davi,Paraíso,21,2875,Leite,6
6,Davi,Paraíso,21,8300,Sabão em pó,8
6,Davi,Paraíso,21,12996,Acetona,14
6,Davi,Paraíso,21,13212,Bolos,19
7,Maria Clara,Figueiroa,21,26856,Palmito,5
7,Maria Clara,Figueiroa,21,34819,Pimentão,11
7,Maria Clara,Figueiroa,21,38875,Melão,10
8,Fernando,Galvão,17,18648,Cebola,6
8,Fernando,Galvão,17,22267,Cenoura,17
8,Fernando,Galvão,17,25107,Baunilha,15
8,Fernando,Galvão,17,29304,Gel,18
8,Fernando,Galvão,17,38891,Creme de leite,18
9,Henrique,Arruda,17,2925,Mamão,3
9,Henrique,Arruda,17,19954,Abacaxi,1
9,Henrique,Arruda,17,21368,Polvilho,14
9,Henrique,Arruda,17,33004,Espinafre,11
10,Alícia,Gaspar,40,5138,Pilhas,11
10,Alícia,Gaspar,40,6082,Brócolis,12
10,Alícia,Gaspar,40,12195,Farinha de milho,13
11,Vitória,Xavier,22,11818,Mostarda,3
11,Vitória,Xavier,22,16589,Acetona,3
11,Vitória,Xavier,22,37864,Creme de leite,19
12,Maria Helena,Mendes,38,290,Uísque,5
12,Maria Helena,Mendes,38,10964,Cereal,9
12,Maria Helena,Mendes,38,18244,Suco,7
12,Maria Helena,Mendes,38,29841,Abacaxi,1
12,Maria Helena,Mendes,38,32222,Pepino,10
13,Otávio,Jesus,34,5683,Creme de leite,17
13,Otávio,Jesus,34,8673,Iogurte,18
13,Otávio,Jesus,34,13781,Fraldas,2
13,Otávio,Jesus,34,20416,Margarina,19
13,Otávio,Jesus,34,24963,Pano de prato,3
13,Otávio,Jesus,34,26286,Peixe,17
13,Otávio,Jesus,34,33677,Velas,3
14,Maria Clara,Ximenes,54,18951,Alvejante,13
14,Maria Clara,Ximenes,54,25417,Pimentão,13
14,Maria Clara,Ximenes,54,34380,Tortas,4
16,Ruan,Flores,56,3715,Vodca,17
16,Ruan,Flores,56,8219,Leite,5
16,Ruan,Flores,56,9422,Purificador de ambientes,19
16,Ruan,Flores,56,15656,Salsicha,7
16,Ruan,Flores,56,16558,Escova de dente,8
16,Ruan,Flores,56,19655,Biscoitos,3
16,Ruan,Flores,56,30108,Bovina,11
17,Maria Sophia,Pacheco,22,2343,Macarrão,8
17,Maria Sophia,Pacheco,22,13092,Milho,3
18,Júlia,Cortês,54,234,Chá,11
18,Júlia,Cortês,54,1183,Brócolis,15
19,Maria Laura,Neves,57,4303,Espinafre,19
19,Maria Laura,Neves,57,20313,Pano de limpeza,9
19,Maria Laura,Neves,57,37096,Manteiga,19
20,Cecília,Padilha,17,5073,Queijo ralado,8
20,Cecília,Padilha,17,12086,Uva,4
20,Cecília,Padilha,17,19990,Preservativo,12
20,Cecília,Padilha,17,30559,Leite,10
20,Cecília,Padilha,17,33916,Farinha de milho,10
21,Olívia,D’Ávila,49,14328,Baunilha,4
21,Olívia,D’Ávila,49,15261,Repolho,19
21,Olívia,D’Ávila,49,16744,Desinfetante,15
21,Olívia,D’Ávila,49,36588,Refrigerante,14
22,Gabriela,Barros,22,7296,Vodca,12
22,Gabriela,Barros,22,7377,Melancia,4
23,Maria Laura,Pimenta,43,8362,Brócolis,1
23,Maria Laura,Pimenta,43,14947,Queijo,18
23,Maria Laura,Pimenta,43,20987,Alho,7
23,Maria Laura,Pimenta,43,27646,Maionese,9
23,Maria Laura,Pimenta,43,35706,Catchup,16
23,Maria Laura,Pimenta,43,39209,Cerveja,2
24,Maya,Barreto,31,4509,Vassoura,7
24,Maya,Barreto,31,11736,Abacaxi,8
24,Maya,Barreto,31,26669,Toalha de papel,7
24,Maya,Barreto,31,34407,Adoçante,11
24,Maya,Barreto,31,35070,Aparelho de barbear,18
24,Maya,Barreto,31,38882,Talco,2
25,Joana,Rebelo,58,8645,Velas,7
25,Joana,Rebelo,58,16345,Presunto,5
25,Joana,Rebelo,58,18435,Sagu,2
25,Joana,Rebelo,58,39881,Fósforo,3
26,João,Castro,39,17636,Sal,1
26,João,Castro,39,27275,Vagem,11
27,Bryan,Ferrari,23,2151,Café,15
27,Bryan,Ferrari,23,16506,Esmalte,16
27,Bryan,Ferrari,23,18422,Salsicha,4
27,Bryan,Ferrari,23,31653,Margarina,9
27,Bryan,Ferrari,23,34971,Palito de dente,16
28,Davi Lucas,Barreto,31,3823,Cebola,3
28,Davi Lucas,Barreto,31,10351,Achocolatado,14
